Number of nodes (N),Serial Time (us),Parallel time with 2 threads (us),Parallel time with 4 threads (us),Parallel time with 6 threads (us),Parallel time with 8 threads (us),Parallel time with 10 threads (us),Parallel time with 12 threads (us)
500,2245,1981,1287,1603,1326,1342,7827
1000,8479,6984,4506,4102,5168,3416,10816
1500,15635,11446,10608,8700,7761,7176,11005
2000,24027,20350,12774,15024,13328,12178,21256
2500,35651,29872,20528,23423,20483,18995,19375
3000,50856,42723,30568,34816,32122,38183,29987
3500,84029,57610,42285,48863,43210,40024,40651
4000,90742,97055,57733,52497,45798,42506,40214
4500,106005,77010,57882,63267,59776,61467,51202
5000,126252,100415,82234,82822,70645,67144,68008
5500,167583,121676,98887,90981,85385,79674,90852
6000,203870,134049,105771,107212,101298,94726,122043
6500,287589,161944,127657,131228,117793,114079,149872
7000,275846,184692,133354,146618,134446,128736,154785
7500,317687,235427,155758,167120,155756,187597,138178
8000,399763,279285,183822,184097,175619,164854,164694
8500,406719,282138,196622,220394,229445,195446,180067
9000,546814,314105,249206,253512,229761,222547,203846
9500,523986,401523,269727,262639,243942,234469,233602
10000,653668,374548,328696,310190,277072,258735,256860
10500,702143,474745,363721,340618,296863,286367,299889
11000,811560,476677,345087,396717,341010,327203,312790
11500,898180,616311,426856,365314,358256,336144,325842
12000,983712,525188,418460,414042,400184,381415,381350
12500,1004383,605841,462547,457138,425706,400477,493419
13000,1062446,651037,487562,487620,487080,442191,524240
13500,1242833,770597,507042,529301,503977,474340,626999
14000,1249745,734565,622008,560925,593415,572244,551533
14500,1405177,841586,651937,603811,555139,532317,534262
15000,1411034,856669,681045,675264,607857,589620,568232
15500,1663471,936236,670947,671715,692744,660587,611203
16000,1683459,969584,721053,722563,679000,661439,663156
16500,1965337,1123297,810475,754781,712178,697203,663065
17000,1836278,1154428,938378,820448,793617,747305,732445
17500,2018727,1199820,1013186,896614,818237,782154,904977
18000,2045688,1203321,1028187,927103,945752,858274,819706
18500,2128412,1248336,1086692,959656,941648,1033962,863373
19000,2341246,1363739,1135998,1051116,983263,1023879,974146
19500,2535832,1408004,1204111,1084926,1014133,993604,932725
20000,3071711,1695802,1421688,1161539,1061257,1049819,1019322
20500,2930282,1642563,1338143,1206627,1147783,1057028,1051754
21000,3940816,1919685,1595940,1312774,1157315,1131935,1115231
21500,3122069,1894378,1689133,1352317,1348896,1210016,1228801
22000,3381476,1791625,1638168,1465157,1394729,1250585,1196684
22500,8067564,1899215,1674838,1423835,1352159,1311811,1244868
23000,5209067,2028402,2254537,1554098,1652035,1413973,1322366
23500,6683646,2143551,1680471,2131649,2220743,1612560,1394812
24000,6693785,2305083,1836931,2237556,2120867,2197504,1442787
24500,6826290,2510883,1939760,2252469,1619301,1893700,1789158
25000,8832872,2280905,2082035,1897819,2138140,1920813,2144244
