Number of nodes (N),Serial Time (us),Parallel time with 2 threads (us),Parallel time with 4 threads (us),Parallel time with 6 threads (us),Parallel time with 8 threads (us),Parallel time with 10 threads (us),Parallel time with 12 threads (us)
10,2,130,109,115,131,134,182
20,9,71,492,131,185,187,198
30,18,103,185,164,180,176,227
40,33,182,232,211,233,288,264
50,48,403,403,302,349,435,357
60,59,216,524,288,321,368,982
70,87,262,297,317,357,459,596
80,340,299,361,325,385,436,425
90,86,256,314,389,399,448,482
100,160,334,411,433,489,687,1654
110,133,330,592,415,484,603,588
120,141,344,403,484,502,677,651
130,141,392,468,569,570,660,767
140,160,470,487,520,669,665,736
150,182,464,469,563,647,749,923
160,204,529,531,603,661,797,843
170,232,508,548,632,669,1496,948
180,377,554,636,622,733,838,929
190,322,573,667,725,895,948,1060
200,295,580,647,748,773,1062,1166
210,415,860,832,785,1033,1080,37931
220,344,715,673,785,1011,1109,1180
230,391,772,2654,744,979,1127,2543
240,312,859,691,802,1080,1072,1252
250,444,823,793,820,1096,1104,1426
260,518,770,749,889,1208,1453,1622
270,551,862,787,840,1055,1264,1823
280,550,914,843,913,1328,1493,7760
290,774,1099,897,1015,1276,1832,36443
300,670,1155,902,1012,1263,2045,5705
310,681,1127,943,1107,1251,1383,1977
320,623,1234,1024,1372,1441,1574,1729
330,653,1261,1090,1108,1346,1499,1803
340,723,1223,1249,1097,1430,1558,1906
350,680,1276,1107,1238,1450,1711,2237
360,698,1364,1105,1162,1477,1684,3330
370,751,1469,1266,1252,1489,2074,1990
380,934,1533,1177,1476,1566,1889,2049
390,762,1433,1370,1258,1659,1763,2316
400,878,1575,1229,1306,1652,1851,4271
410,889,1681,1295,1534,1694,2000,2378
420,967,1713,1316,1418,1784,2024,3738
430,974,1507,1292,1704,1812,2021,2351
440,1109,1866,1398,1456,1856,2109,4243
450,1027,1881,1510,1626,1871,2217,2449
460,1179,1874,1451,1558,1857,2342,2490
470,1496,2001,1419,1516,1970,2070,3735
480,1162,1916,1523,1901,2034,2348,2907
490,1280,2049,1607,1631,2096,2512,3122
500,1326,2263,1642,1619,2113,2350,11705
