Number of nodes (N),Serial Time (us),Parallel time with 2 threads (us),Parallel time with 4 threads (us),Parallel time with 6 threads (us),Parallel time with 8 threads (us),Parallel time with 10 threads (us),Parallel time with 12 threads (us)
500,2577,2007,1139,1445,1609,1772,1746
1000,9932,7322,4532,5140,4131,5081,10190
1500,17709,13238,8337,9567,9310,8140,17674
2000,36604,45987,35819,33538,30242,26703,46478
2500,39595,38691,23481,25759,23053,20542,19301
3000,58543,50049,42128,48174,42558,38942,33605
3500,92951,84446,48228,52857,48021,42662,40013
4000,123070,68906,50979,54287,60934,55672,52314
4500,116223,108714,67866,87965,77523,61601,94873
5000,153574,114511,90470,92090,79520,105165,74907
5500,211937,168316,109730,103528,99349,105647,127138
6000,247367,164933,139669,131297,126818,118007,248290
6500,312582,237421,144593,144009,154628,152306,156288
7000,342236,209285,178385,161187,153116,143402,183901
7500,370097,253801,194047,197563,174934,187680,156593
8000,475321,290872,231239,222573,203072,193188,215178
8500,592455,319401,263673,240484,224382,223796,235948
9000,650620,389205,299455,299246,284820,272385,248261
9500,759688,380223,350295,316062,278858,255877,263972
10000,879495,459059,383181,335896,328433,313080,304431
10500,697409,462104,338570,359912,354988,316279,323301
11000,780061,526456,381817,418360,374742,351021,356720
11500,978835,578905,536279,450423,421058,387206,381105
12000,1068038,623866,516679,469498,489400,417602,438001
12500,1151473,729128,601026,512060,525717,463236,545851
13000,1278485,714049,640368,585920,681732,525923,537056
13500,1413812,780076,581688,604496,665211,559122,633110
14000,1650209,895765,788189,696534,650315,663569,594062
14500,1778041,1199665,882756,693737,634376,628752,613556
15000,1803623,1160329,804727,833773,701228,610410,615941
15500,1771596,1045838,793327,813637,706678,670594,625560
16000,1761323,1015369,759981,766154,704634,704538,706793
16500,1670943,979777,792699,798494,728884,698661,752732
17000,1910934,1240277,899863,982235,826022,799609,780881
17500,1994677,1140890,907391,849501,815395,781175,799911
18000,2111478,1202687,974739,907546,857250,1009033,1042331
18500,2579342,1316454,1139542,1143585,1081371,1164346,1013626
19000,2860775,1642568,1495820,1200514,1106833,1105425,1083947
19500,3253620,1856638,1591886,1249538,1138060,1116579,1078783
20000,4006034,1823638,2175334,1465195,1242321,1423528,1427654
20500,3507174,2059833,1532351,1900806,1284301,1263543,1244807
21000,3817249,2036440,1497694,1393071,1223923,1196388,1170664
21500,8550443,1853493,1651720,1454515,1273070,1216187,1169470
22000,4882751,1853890,2314558,2246097,1408291,1299890,1257219
22500,4037432,1905402,2273480,2330849,1472029,1637438,1378142
23000,5925187,2037879,2195720,1539856,2064672,1505876,1743788
23500,4125413,2065210,1668069,2081377,2031664,2105399,2260633
24000,4249623,2191402,1821762,2148155,2128708,2104829,2161631
24500,7075026,2372185,1836531,2177712,2203758,2072185,1776772
25000,6300451,2510247,1899778,2536403,1755506,2319997,2112031
